id,price,minimum_nights,rent
1459,60,30,1459
1460,109,30,1460
1461,1500,30,1461
1462,200,30,1462
1463,240,30,1463
1464,90,30,1464
1465,340,30,1465
1466,21,30,1466
1467,185,30,1467
1468,300,30,1468
1469,165,30,1469
1470,55,30,1470
1471,128,30,1471
1472,95,30,1472
1473,125,31,1473
1474,200,30,1474
1475,130,30,1475
1476,180,30,1476
1477,100,30,1477
1478,150,30,1478
1479,94,30,1479
1480,190,30,1480
1481,200,30,1481
1482,225,30,1482
1483,167,30,1483
1484,119,30,1484
1485,160,30,1485
1486,150,30,1486
1487,168,30,1487
1488,225,30,1488
1489,275,30,1489
1490,94,30,1490
1491,148,30,1491
1492,250,30,1492
1493,100,30,1493
1494,70,30,1494
1495,375,30,1495
1496,175,30,1496
1497,169,30,1497
1498,250,30,1498
1499,150,30,1499
1500,145,30,1500
1501,560,30,1501
1502,70,30,1502
1503,240,30,1503
1504,749,30,1504
1505,156,30,1505
1506,220,30,1506
1507,120,30,1507
1508,650,30,1508
1509,149,180,1509
1510,750,30,1510
1511,300,30,1511
1512,55,30,1512
1513,105,30,1513
1514,50,273,1514
1515,1200,30,1515
1516,95,30,1516
1517,40,30,1517
1518,290,30,1518
1519,100,30,1519
1520,180,30,1520
1521,70,30,1521
1522,43,30,1522
1523,51,30,1523
1524,80,30,1524
1525,348,30,1525
1526,5250,30,1526
1527,1500,30,1527
1528,50,30,1528
1529,110,30,1529
1530,1000,30,1530
1531,145,30,1531
1532,85,30,1532
1533,1000,30,1533
1534,75,30,1534
1535,129,30,1535
1536,149,30,1536
1537,175,30,1537
1538,126,30,1538
1539,208,30,1539
1540,137,30,1540
1541,65,30,1541
1542,75,30,1542
1543,92,30,1543
1544,350,30,1544
1545,100,30,1545
1546,200,30,1546
1547,70,30,1547
1548,90,30,1548
1549,65,30,1549
1550,300,30,1550
1551,175,30,1551
1552,2136,30,1552
1553,236,30,1553
1554,150,30,1554
1555,30,30,1555
1556,49,30,1556
1557,189,30,1557
1558,149,180,1558
1559,200,30,1559
1560,115,30,1560
1561,6500,30,1561
1562,123,30,1562
1563,150,30,1563
1564,199,30,1564
1565,175,30,1565
1566,168,30,1566
1567,2750,30,1567
1568,250,30,1568
1569,3750,30,1569
1570,333,30,1570
1571,500,30,1571
1572,100,30,1572
1573,800,30,1573
1574,138,30,1574
1575,1600,30,1575
1576,80,30,1576
1577,90,30,1577
1578,49,30,1578
1579,73,30,1579
1580,130,30,1580
1581,119,30,1581
1582,115,30,1582
1583,600,30,1583
1584,128,30,1584
1585,800,30,1585
1586,199,30,1586
